tract,tree,grassShrub,bare,water,buildings,roads,otherPaved,totalPixels,percentImp
94,324444.1014,765717.8335,0,0,1278901.181,660579.8642,917669.4386,3947312.419,0.723821725
95,248272.3381,425269.9333,0,0,1470111.934,623623.2566,667014.5771,3434292.039,0.803877404
96,364578.0734,682779.4236,0,0,1722440.46,789096.1571,803836.2086,4362730.323,0.759930727
138,412475.4925,668081.3637,10403.9189,0,1174712.022,590314.9193,817252.525,3673240.242,0.702997707
139,751097.7579,1488407.274,11221.75531,0,1167630.439,739829.012,1901016.74,6059202.978,0.628544085
140,525803.8235,1002253.519,0,0,1254214.12,793997.1767,1156368.692,4732637.331,0.677123507
141,434522.0825,1284978.966,13042.39113,0,1470355.885,1086964.574,1760824.782,6050688.681,0.713661778
142,469961.9935,2319222.086,0,2384755.977,2091811.575,1439700.017,2101727.591,10807179.24,0.521249723
143,366033.7823,865751.8237,0,2753143.289,1332035.553,1561626.628,2027768.385,8906359.461,0.552574886
144,438130.3608,1126058.754,13440.31153,0,2007661.407,1203144.335,1771298.687,6559733.856,0.759497952
145,279327.1262,1002094.551,0,0,629515.0781,650568.8667,898607.2516,3460112.874,0.629658996
146,466116.7627,880662.841,12549.48973,0,1016644.641,889233.1267,1525140.926,4790347.787,0.716235824
147,371525.6837,760968.7834,0,0,1181337.697,513965.1915,807537.4683,3635334.824,0.688475884
148,159111.173,662434.4932,4480.103845,0,401266.7346,339143.1612,490898.8055,2057334.471,0.598497093
149,477944.3968,801133.7492,0,8321.335483,1621750.601,944350.1016,1024659.037,4878159.222,0.736089081
152,744439.0898,1456249.706,0,0,1885237.896,1115680.83,1976106.719,7177714.242,0.693399776
153,550596.8641,1095317.904,0,0,1298479.265,688072.3649,1417747.408,5050213.806,0.674090082
156,254326.1271,992768.4165,0,0,1016713.627,868084.3571,1492320.491,4624213.019,0.730312047
190,556151.753,945116.9483,201256.7426,83947.20804,2282880.355,1411027.752,3035912.726,8516293.486,0.790228853
191,1517988.357,2360435.842,30893.82031,182690.4564,4344600.949,2310442.842,4967108.429,15714160.7,0.739597389
192,385228.9427,849025.1695,54659.06655,0,2475967.732,1190143.936,2115649.807,7070674.653,0.817710015
197,336669.656,383155.3574,0,0,1882490.445,888811.2111,1357066.546,4848193.216,0.85152716
198,413719.2437,490665.8521,0,0,2219215.09,942973.377,1757509.445,5824083.009,0.844716311
199,434158.1553,686736.6321,0,0,2247401.452,1323113.338,2433577.212,7124986.789,0.842681142
200,288326.3261,326611.6679,0,0,1179880.988,750223.9327,863471.2798,3408514.195,0.819587668
202,1162419.481,1601052.741,5093.981051,0,2372742.38,1374156.128,1631044.742,8146509.454,0.660153073
203,621657.6498,729591.0599,0,0,1614080.136,1039759.017,1464098.136,5469185.999,0.752934219
204,546768.6299,522575.4692,0,0,1247435.475,926107.7507,1142156.534,4385043.86,0.756138334
205,1411837.59,3839711.942,20592.88081,0,3260141.874,2482724.381,4371036.662,15386045.33,0.657342592
206,3699177.054,4297504.37,15102.97895,891957.5817,2056400.658,1238485.266,2362248.479,14560876.39,0.388516065
13,681806.6182,932377.4965,0,519616.0612,2465242.877,1232297.504,2543496.224,8374836.781,0.745212924
14,370103.9681,457827.4208,9411.117494,0,1389229.112,473917.2023,699080.163,3399568.984,0.753691568
15,203694.255,270503.8911,11439.71171,0,1000983.773,410360.9155,679687.0422,2576669.589,0.811524978
16,199215.151,113293.3379,0,0,1002053.559,329083.1735,470165.9527,2113811.174,0.852158749
17,339733.0432,279167.1582,0,0,898926.1878,385041.9801,481500.6854,2384369.055,0.740434393
18,172081.5785,167743.4463,0,0,986833.6037,457287.5288,826355.7041,2610301.861,0.869813898
19,256728.6466,369988.9911,0,0,1323874.185,652610.4583,931017.7685,3534220.05,0.822671586
20,250783.8357,464324.1212,0,0,1186749.614,617893.4028,594988.9844,3114739.959,0.770411666
21,215533.8868,409409.1059,3377.324434,0,947897.3921,473563.2731,506840.6167,2556621.599,0.754238047
22,146150.7655,283634.2646,0,0,1007208.528,415683.8508,608992.1833,2461669.592,0.825409132
23,101299.737,249668.0589,15100.97935,0,921880.5962,398374.3132,599497.0826,2285820.767,0.839852371
24,276641.6634,266316.7287,1757.648418,0,2221661.601,1109804.006,1886791.585,5762973.232,0.905480033
25,343375.3146,808192.3373,26968.60547,0,1242028.557,849408.0929,1021305.708,4291278.616,0.725364777
29,245143.9639,189303.1337,18915.21639,0,1634964.958,692457.4877,1204145.135,3984929.894,0.886230793
31,329501.0899,580227.937,6442.711264,0,1744000.148,738807.2164,862742.4256,4261721.528,0.785023087
50,2875752.763,15614684.59,1805764.793,37238420.2,5937237.374,3863120.26,18891467.14,86226447.12,0.332749704
54,6727374.323,8878137.106,0,6883774.039,534275.1289,1678271.295,1032644.44,25734476.33,0.126102852
55,2861181.678,3775153.856,11352.72911,92769.44333,1938074.327,1702041.541,2306396.651,12686970.23,0.468710213
56,2351803.569,3113468.213,10057.9881,0,752293.5187,1120281.91,1699244.1,9047149.299,0.394800551
60,1208591.245,3411743.549,7614.476876,0,2249824.968,2240525.828,2637314.458,11755614.52,0.60632009
61,656236.733,1469811.994,19555.0884,0,1172240.517,979830.0046,1380226.913,5677901.249,0.622113221
62,255629.8664,842928.389,0,0,1328436.273,844056.1634,2214166.1,5485216.792,0.799723822
63,795943.7874,1091633.641,27285.54207,0,1562260.501,1152939.378,1350981.763,5981044.612,0.679844727
100,432894.4081,991656.6389,0,0,1655741.802,881566.6602,1388652.228,5350511.737,0.733754243
101,657430.4942,1184040.156,0,0,2376374.654,1110995.768,1145128.94,6473970.012,0.715557742
102,350210.9473,749344.1087,6084.782861,0,1174872.99,668380.3039,932782.4155,3881675.548,0.715164283
103,347749.4397,568725.2379,3580.283836,0,969358.0993,550394.9045,587908.4007,3027716.366,0.696122473
104,876985.5766,977049.5608,0,0,1314127.135,746002.7771,1178224.32,5092389.369,0.63592039
105,795229.9302,1742864.375,20299.9394,0,1476633.629,1197531.458,1846950.554,7079509.886,0.638619864
106,349513.0869,594420.0981,0,0,814279.1197,499041.1768,600142.9534,2857396.435,0.669652704
107,565580.8669,1001449.68,0,0,1451401.676,1017331.503,920717.8288,4956481.555,0.683842151
108,861125.749,1489170.121,3595.280836,0,1299967.967,1323390.282,1326934.573,6304183.974,0.626614458
109,291656.6599,476227.7402,0,0,759939.9892,487412.5029,655869.8064,2671106.699,0.712522004
110,667511.4777,1103548.257,0,0,1295227.916,1054535.061,969121.1467,5089943.859,0.652047295
111,1124415.083,3846785.527,6229.753862,14497.10015,2900444.824,1921488.645,4193877.099,14007738.03,0.643630724
